Disease,Specialist
(vertigo) Paroymsal  Positional Vertigo,Neurologist or ENT Specialist
AIDS,Infectious Disease Specialist or Immunologist
Acne,Dermatologist
Alcoholic hepatitis,Hepatologist or Gastroenterologist
Allergy,Immunologist or Allergist
Arthritis,Rheumatologist or Orthopedic Surgeon
Bronchial Asthma,Pulmonologist
Cervical spondylosis,Orthopedic Surgeon or Neurologist
Chicken pox,Infectious Disease Specialist or Dermatologist
Chronic cholestasis,Hepatologist or Gastroenterologist
Common Cold,General Physician
Dengue,Infectious Disease Specialist
Diabetes ,Endocrinologist
Dimorphic hemmorhoids(piles),Gastroenterologist or Proctologist
Drug Reaction,Allergist or Dermatologist
Fungal infection,Dermatologist
GERD,Gastroenterologist
Gastroenteritis,Gastroenterologist
Heart attack,Cardiologist
Hepatitis B,Hepatologist or Gastroenterologist
Hepatitis C,Hepatologist or Gastroenterologist
Hepatitis D,Hepatologist or Gastroenterologist
Hepatitis E,Hepatologist or Gastroenterologist
Hypertension ,Cardiologist or Internal Medicine Specialist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist or Diabetes Specialist
Hypothyroidism,Endocrinologist
Impetigo,Dermatologist
Jaundice,Hepatologist or Gastroenterologist
Malaria,Infectious Disease Specialist
Migraine,Neurologist
Osteoarthristis,Rheumatologist or Orthopedic Surgeon
Paralysis (brain hemorrhage),Neurologist or Neurosurgeon
Peptic ulcer diseae,Gastroenterologist
Pneumonia,Pulmonologist or Infectious Disease Specialist
Psoriasis,Dermatologist
Tuberculosis,Pulmonologist or Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Urinary tract infection,Urologist or Nephrologist
Varicose veins,Vascular Surgeon or Cardiologist
hepatitis A,Gastroenterologist or Hepatologist
